Subject,Number,Instructors
CS,483,"Haase, H;Hwu, W;Kindratenko, V;Lumetta, S;Patel, S"
CS,484,"Kale, L;Rauchwerger, L"
CS,491,"Amato, N;Angrave, L;Bailey, B;Bashir, M;Beckman, A;Beckman, M;Campbell, R;Chapman, W;Davis, N;Gertner, Y;Lewis, C;Marinov, D;Shang, J;Thakore, U;Tucker, Z;Williams, T"
CS,492,"Woodley, M"
CS,493,"Woodley, M"
CS,494,"Woodley, M"
CS,497,"Alawini, A;Angrave, L;Brunner, R;Forsyth, D"
CS,498,"Agha, G;Alawini, A;Angrave, L;Arsan, D;Bailey, B;Bambenek, J;Bashir, M;Caccamo, M;Caesar, M;Campbell, R;Chan, T;Chandrasekharan, E;Chekuri, C;Chen, B;Chowdhary, G;Cunningham, R;Davis, N;De, S;DeJong, G;Delgosha, P;Erickson, J;Fagen-Ulmschneider, W;Farivar, R;Forsyth, D;Gertner, Y;Ghose, S;Godfrey, P;Gunter, C;Han, J;Har-Peled, S;Hauser, K;Herman, G;Iyer, R;Jiang, N;Kesan, J;Khurana, D;Kirlik, A;Kravets, R;Kumar, R;Lane, H;Lavalle, S;Lazebnik, S;Li, B;Mehta, R;Miller, A;Mitra, S;Mohan, S;Morales Aguirre, M;Parthasarathy, M;Shaffer, E;Smaragdis, P;Snir, M;Sohn, M;Stodden, V;Sundaram, H;Torres, M;Vasisht, D;Viswanathan, M;Walker, T;Wang, S;Williams, T;Xie, T;Yershova, G;Zhao, H;Zilles, C"
CS,500,"Cunningham, K;Herman, G;Lewis, C"
CS,507,"Khurana, D"
CS,508,"Hwu, W;Lumetta, S"
CS,510,"Zhai, C"
CS,511,"Chang, K;Javari, A;Park, Y"
CS,512,"Han, J;Tong, H;Zhu, Q"
CS,513,"Ludaescher, B"
CS,519,"Shaffer, E"
CS,521,"Misailovic, S;Parthasarathy, M;Singh, G"
CS,522,"Rosu, G"
CS,523,"Campbell, R;Eslami, H;Xu, T"
CS,524,"Agha, G;Meseguer, J"
CS,525,"Gupta, I"
CS,526,"Adve, V;Mendis, C;Misailovic, S"
CS,527,"Gyori, G;Hsieh, C;Marinov, D;Xie, T;Zhang, L"
CS,533,"Torrellas, J"
CS,534,"Adve, S;Ghose, S;Torrellas, J"
CS,536,"Iyer, R;Kalbarczyk, Z"
CS,537,"Nahrstedt, K"
CS,538,"Godfrey, P"
CS,539,"Ren, L"
CS,540,"Telgarsky, M"
CS,541,"Nicol, D;Noureddine, M"
CS,542,"Jiang, N"
CS,543,"Gupta, S;Hoiem, D;Lazebnik, S"
CS,544,"Forsyth, D"
CS,545,"Smaragdis, P"
CS,546,"Hockenmaier, J;Ji, H"
CS,547,"Sirignano, J;Sowers, R"
CS,548,"Fu, W"
CS,549,"Hummel, J"
CS,554,"Solomonik, E"
CS,555,"Fischer, P;Kloeckner, A;Olson, L"
CS,556,"Fischer, P;Olson, L"
CS,562,"Li, B"
CS,563,"Bates, A;Fletcher, C;Gunter, C;Hojjati, A;Miller, A"
CS,565,"Bailey, B;Kirlik, A"
CS,567,"Karahalios, K"
CS,568,"Kumar, R"
CS,571,"Balog, J"
CS,572,"Kostochka, A"
CS,574,"Chan, T;Har-Peled, S"
CS,575,"Balog, J;Balogh, J"
CS,576,"Meseguer, J"
CS,579,"Forbes, M;Kolla, A"
CS,580,"Mehta, R"
CS,581,"Smirnov, V;Warnow, T"
CS,582,"Sinha, S"
CS,583,"Chekuri, C"
CS,584,"Mitra, S"
CS,586,"Chandrasekaran, K;Chekuri, C"
CS,588,"Forsyth, D"
CS,591,"Adve, V;Alagappan, R;Amato, N;Bailey, B;Beckman, A;Beckman, M;Campbell, R;Chan, A;Chekuri, C;Chen, Y;Cobb, C;Cunningham, K;El-Kebir, M;Erickson, J;Fletcher, C;Forsyth, D;Ganesan, A;Garzaran, M;Geigle, C;George, K;Gertner, Y;Ghose, S;Goodman, M;Gunter, E;Gupta, I;Heath, M;Herman, G;Hudson, M;Jabbarvand Behrouz, R;Johnson, B;Kale, L;Kalim, F;Karahalios, K;Kirlik, A;Kloeckner, A;Kravets, R;Lewis, C;Marinov, D;Massung, S;Mendis, C;Meseguer, J;Misailovic, S;Mohan, S;Olson, L;Padua, D;Rauchwerger, L;Ren, L;Sha, L;Singh, G;Viswanathan, M;Warnow, T;Williams, T;Wright, A;Xie, T;Xu, T;Zhai, C;Zhang, L;Zilles, C"
CS,597,"Campbell, R;Singh, G"
CS,598,"Abdelzaher, T;Adve, S;Adve, V;Agha, G;Alagappan, R;Banerjee, A;Bashir, M;Bates, A;Borisov, N;Caccamo, M;Campbell, R;Chacko, G;Chan, T;Chandrasekharan, E;Chang, K;Chekuri, C;Choi, D;Cobb, C;De, S;Delgosha, P;El-Kebir, M;Erickson, J;Farivar, R;Fletcher, C;Forbes, M;Forsyth, D;Ganesan, A;Geigle, C;Ghose, S;Gui, L;Gunter, C;Guo, H;Gupta, I;Gupta, S;Han, J;Har-Peled, S;Hauser, K;Heath, D;Herman, G;Hoiem, D;Jabbarvand Behrouz, R;Ji, H;Jiang, N;Kale, L;Karahalios, K;Khurana, D;Kirlik, A;Kloeckner, A;Koyejo, O;Kumar, R;Lavalle, S;Lazebnik, S;Lewis, C;Li, B;Liang, F;Marinov, D;Mehta, R;Mendis, C;Miller, A;Misailovic, S;Mittal, R;Nahrstedt, K;Olson, L;Padua, D;Parameswaran, A;Park, T;Parthasarathy, M;Peng, J;Rauchwerger, L;Ray Chaudhury, B;Ren, L;Renear, A;Ringer, T;Rosu, G;Sha, L;Singh, G;Sinha, S;Sirignano, J;Smaragdis, P;Snir, M;Solomonik, E;Soltanaghai, E;Sun, J;Sundaram, H;Telgarsky, M;Tong, H;Torrellas, J;Vasisht, D;Viswanathan, M;Wang, G;Wang, S;Wang, Y;Xu, T;Zhai, C;Zhang, L;Zhao, H;Zhu, R"
CS,599,"Amato, N"
